Destinasi,Detail,Preferensi 2
Pantai Akkarena,"Pantai Akkarena merupakan destinasi wisata bahari yang berada di pesisir wilayah Tanjung Bunga, Makassar.  Nama Akkarena berasal dari bahasa Makassar yang berarti bermain, karena lokasinya menjadi destinasi berlibur. Pantai Akkarena buka untuk umum sejak tahun 1998 dengan luas 10 hektare. Tak hanya menawarkan keindahan pantai, wisatawan dapat menikmati berbagai watersport hingga cafe-cafe unik.",wisata air
Pantai Appalarang,"Pantai Appalarang adalah sebuah pantai yang tidak memiliki pesisir. Disini wisatawan dapat berenang, memancing, berfoto-foto, dan bersantai di anjungan.",wisata air
Pulau Kayangan,"Pulau Kayangan adalah pulau dengan bentuk lonjong  yang berada di Makassar. Keindahan pulau ini dapat dilihat oleh pengunjung dari perahu. Pulau ini memiliki pantai pasir putih dan panorama pulau yang indah dan eksotis. Fasilitas yang disediakan adalah penginapan, resto, ragamwahan dan toilet.",wisata air
Air Terjun Takapala,"Air Terjun Takapala merupakan  air terjun yang cocok sebagai destinasi wisata keluarga di Gowa.  Fasilitas yang disediakan disini antara lain area parkir, toilet, gazebo, dan kantin. ",wisata air
Desa Rammang-Rammang,"Desa Rammang-rammang adalah wisata Alam yang membentang gugusan karst menara atau tower karst terpanjang kedua di dunia setelah Cina dan Karst tercantik ketiga didunia setelah Cina dan Vietnam serta memiliki 280 gua, sebanyak 16 gua di antaranya menjadi situs prasejarah tertua didunia. Wisata rammang-Rammang juga memanjakan mata pengunjung dengan sejumlah paket objek wisata lain seperti Menyusuri sungai dengan perahu jolloro disuguhkan pemandangan pohon nipa dan bakau, taman batu, sosokeng, dan sepak labbua, Gua Prasejarah, Watching Bird, River Tour, Night Tour, kampung Berua, dan kampung budaya Massaloeng.",pegunungan dan pedesaan
Hutan Mangrove Tongke-Tongke,"Kawasan hutan mangrove Tongke-tongke di Desa Tongke-tongke, Kecamatan Sinjai Timur, Kabupaten Sinjai, adalah salah satu destinasi wisata penting di Sulawesi Selatan  yang ditetapkan sebagai desa wisata. Sesuai dengan namanya, wisatawan akan dimanjakan dengan sejumlah pepohonan mangrove rindang tampak menyapa di kawasan wisatanya. Aroma khas laut samar samar masuk ke indra penciuman, sedangkan pandangan terpaku dengan pesona lautan lepasnya yang begitu menawan dan dihiasi pohon mangrove di pinggiran pantainya.",wisata air
Pantai Pulau Liukang Loe,Liukang Loe merupakan sebuah pulau kecil dan bisa dikunjungi dari Pantai Bira menggunakan perahu. Di sini terdapat pemukiman dengan warga yang ramah. Pemandangannya pun sangat memanjakan mata. Hamparan laut biru dan terumbu karang di bawahnya terlihat eksotis. Belum lagi ada sekelompok ikan kecil nan cantik yang turut meramaikan,wisata air
Puncak Gunung Sesean,"Gunung Sesean merupakan destinasi wisata pegunungan yang menjadi titik tertinggi di Toraja. Gunung Sesean ini berada di Desa Sesean, Kecamatan Sesean Solora, Toraja Utara dengan ketinggian sekitar 2.100 di atas permukaan laut. Gunung Sesean memiliki jalur pendakian yang tidak ekstrim sehingga cukup aman untuk para pendaki, turis bahkan anak-anak. Treknya juga tidak begitu menanjak dan cukup mudah dilalui",pegunungan dan pedesaan
Taman Nasional Taka Bonerate,"Taman Nasional Taka Bonerate adalah taman laut yang mempunyai kawasan atol terbesar ketiga di dunia setelah Kwajifein di Kepulauan Marshall dan Suvadiva di Kepulauan Maladewa. Luas total dari atol ini 220.000 hektare dengan sebaran terumbu karang mencapai 500 km².  Spesies flora yang ada disini antara lain berbagai jenis koral, pohon kelapa, pandan laut, cemara laut, dan ketapang. Kemudian untuk spesies faunanya, terdapat sekitar 295 jenis ikan karang dan berbagai jenis ikan konsumsi yang bernilai ekonomis tinggi seperti kerapu.",wisata kota
Danau Tempe,"Danau Tempe adalah danau tektonik yang membentang di tiga kabupaten di Sulawesi Selatan, di antaranya Kabupaten Wajo, Kabupaten Sidenreng Rappang, dan Kabupaten Soppeng. Danau ini dianggap sebagai danau purba karena terbentuknya danau ini bersamaan dengan terbentuknya daratan Sulawesi yang berada di atas lempeng benua Australia dan Asia. Luasnya sekitar 350 km2 dan menjadikannya sebagai danau terluas kedua di Sulawesi. Danau ini juga memiliki beragam spesies ikan air tawar yang jarang ditemui di tempat lain.",wisata air
Gunung Kambing,"Gunung Kambing Kota Palopo terletak di provinsi Sulawesi Selatan, Indonesia. Tepatnya di Salobulo, Wara Utara, Kota Palopo, Sulawesi Selatan 91911.  Gunung ini terletak tidak jauh dari Kota Palopo. Dari puncak gunung ini, pengunjung dapat melihat langsung pemandangan Kota Palopo dari atas.",pegunungan dan pedesaan
Pantai Marina Bantaeng,"Pantai Marina, salah satu Kawasan wisata bahari favorit di Bantaeng yang menyuguhkan panorama alam yang begitu memukau. Pantai Marina memiliki pasir berwarna putih dan juga halus, terutama saat Anda menginjakkan kaki di pesisir lautnya. Apabila Anda berkunjung pada sore hari, pastinya pemandangan matahari yang mulai terbenam juga bisa dinikmati. Selain hamparan pasir putih yang begitu nyaman di kaki, pesona Laut Flores yang begitu bersih juga menjadi nilai tambah untuk menjadi daya tariknya. ",wisata air
Wisata Hutan Pinus Malino,"Hutan Pinus Malino termasuk salah satu destinasi favorit lantaran keasrian alamnya masih sangat terjaga. Udara di sini juga lumayan sejuk, bahkan bisa dikatakan merupakan terdingin kedua setelah Toraja di Sulawesi Selatan.  Tak jarang orang-orang memanfaatkan destinasi ini sebagai lokasi perkemahan atau melaksanakan kegiatan kampus, organisasi, komunitas, dan lainnya.",pegunungan dan pedesaan
Taman Nasional Bunaken,"Taman Nasional Bunaken adalah taman laut yang terletak di Sulawesi Utara, Indonesia. Taman ini terletak di Segitiga Terumbu Karang yang menjadi habitat bagi 390 spesies terumbu karang dan juga berbagai spesies ikan, moluska, reptil, dan mamalia laut. Taman Nasional Bunaken merupakan perwakilan ekosistem laut Indonesia, meliputi padang rumput laut, terumbu karang, dan ekosistem pantai",wisata air
Pulau Siladen,"Pulau Siladen merupakan wisata bahari yang berpasir putih di Manado. Tak hanya itu saja, di sepanjang bibir pantai dari pulau satu ini pun juga dikelilingi oleh beragam pepohonan yang akan menambah nuansa sejuk. Keindahan dari pulau ini pun didukung dengan laut yang memiliki air yang jernih.",wisata air
Pantai Malalayang,"Pantai Malalayang merupakan salah satu wisata bahari favorit di Kota Manado yang menyuguhkan pemandangan yang menawan, mulai dari pesisir pantai, pesona bawah laut dan panorama sunset. Daya tarik dari pantai ini adalah biota laut, pemandangan indah laut, hampran bebatuan kecil yang nampak indah, dan suasana yang tenang.",wisata air
Gardenia Country Inn,"Gardenia Country Inn adalah taman luas yang berisikan aneka jenis bunga yang menghiasinya. Banyaknya taman membuat lokasi ini sangat cocok untuk aktifitas fotografi. Pemandangan tempat ini sangat kontras dengan pemandangan gunung yang ada di sekitarnya. Keindahannya yang sangat memukau. Tak hanya itu, pemandangan paling mengagumkan adalah adanya Gunung Lokon yang berdiri anggun di sebelah selatan Kota Tomohon. Gunung ini dapat dilihat dengan jelas, meskipun cuaca saat kami berkunjung agak mendung. Gardenia Country Inn juga adalah resort yang menawarkan tempat untuk melarikan diri dari kesibukan di kota.",pegunungan dan pedesaan
CitraLand WaterPark Manado,"Citraland Waterpark Manado merupakan destinasi wisata ramah anak yang berada di Malalayang. Wisata taman air pertama di Manado ini berada pada lokasi yang strategis. Kawasannya terlihat asri dengan nuansa yang hijau, bersih, dan nyaman bagi wisatawan.  Selain menjadi sarana liburan akhir pekan, taman rekreasi air ini acap kali meramaikan momen libur nasional. Seperti kemeriahan sajian pertunjukan barongsai hingga parade cosplay di area wahana air.",wisata air
GPI Waterpark,"GPI Waterpark Manado atau atau Griya Paniki Indah Waterpark merupakan waterpark kedua di Manado setelah CL Waterpark. Meskipun berdiri setelah CL Waterpark, tetapi taman wisata air ini lebih besar dan wahana yang tersedia lebih banyak CL Waterpark. Tempat rekreasi ini tepat sekali untuk wisata keluarga karena tersedia wahana anak-anak hingga dewasa. Banyak pula fasilitas lain yang bisa dimanfaatkan oleh orang tua ketika menemani anak-anaknya berenang.",wisata air
God Bless Park,"God Bless Park merupakan salah satu ruang publik yang memiliki beberapa spot favorit anak muda. Tak hanya pagi, sore hingga malam banyak anak muda yang datang ke God Bless Park.",wisata kota
Taman Hutan Raya Gunung Tumpa,"Taman Hutan Raya (Tahura) Gunung Tumpa Hein Victor Worang (HV Worang) merupakan kawasan konservasi hutan lindung yang berada di Kelurahan Tongkaina, Kecamatan Bunaken, Kota Manado, Sulawesi Utara. Masuk ke Tahura kita akan melewati spot-spot menarik. Selain hutan raya, pengunjung dapat menyaksikan hamparan luas laut Sulawesi serta pulau-pulau yang sudah sangat terkenal sampai di mancanegara.",wisata kota
Monumen HV. Worang,"Monumen HV. Worang merupakan monumen / tugu yang ditujukan sebagai peringatan pendaratan Batalyon Worang. Lokasi dari monumen ini ada di pusat perbelanjaan Kota Manado, tepatnya di Jalan Suprapto, Wenang Utara (Kawasan Pusat Kota) Manado tak jauh dari Taman Kesatuan Bangsa (TKB). Disebut Batalyon Worang karena dipimpin Mayor Hein Victor Worang. Tugu tersebut sangat khas dengan patung 7 tentara berwarna hijau lumut, menggambarkan Batalyon Worang (Pimpinan Mayor Hein Victor Worang) yang terdiri dari 7 kompi, yaitu Kompi Yuus Somba, Utu Lalu, Wim Tenges, Wuisan, Andi Odang, John Ottay, dan Kompi Wim Yoseph (Kompi Markas).",situs bersejarah dan religi
New Bendar 45,"New Bendar 45 merupakan taman kuliner juga pasar di Provinsi Sulawesi Utara. Pasar Kota Manado mempercantik Pasar 45 yang dulunya, dalam 10 tahun terakhir terkesan kumuh dan sarang kriminal. Ratusan pedagang mulai antusias menjual barang baju prelove import, sepatu, tas, aksesoris, pernak pernik Natal, kue Natal, gorden, kain, sembako murah, dan lain-lain. Taman kuliner, resto and cafe, ditata apik menggunakan protokol kesehatan. Tak ketinggalan, panggung hiburan tersedia menghibur para pengunjung dan pembeli.",wisata kota
Pulau Lihaga,"Pulau Lihaga merupakan pulau yang tak berpenghuni yang masih asri. Pulau Lihaga memiliki luas sekitar 8 hektare. Keasriannya masih terjaga. Hijaunya pepohonan, kejernihan perairannya yang berwarna hijau toska. Serta pasir putih nan lembut macam tepung yang membentang di garis pantai, menjadikan pulau ini sungguh cantik nan eksotis.",wisata air
UPTD Museum Negeri Propinsi Sulawesi Utara,"Museum Negeri Sulawesi Utara adalah museum yang terletak di sulawesi utara tepatnya di kota manado. museum ini menyimpan berbagai warisan budaya leluhur dan budaya kearifan lokal leluhur dari pra sejarah hingga zaman modern hingga saat ini. Museum ini terletak di Jalan W.R. Supratman No. 72, Kota Manado. Bangunan museum ini menyerupai rumah adat Minahasa. Museum ini memamerkan representasi kebudayaan dan sejarah masyarakat lokal Sulawesi Utara, sejarah pra dan pascakolonial, percampuran budaya dengan masyarakat Cina dan Belanda yang menetap di Sulawesi Utara.",situs bersejarah dan religi
Jembatan Soekarno,"Jembatan Soekarno merupakan salah satu ikon di Kota Manado. Jembatan ini tergolong sebagai jembatan gantung. Pembangunan Jembatan Soekarno sempat terhenti selama 12 tahun dan baru diresmikan tahun 2015. Peresmian jembatan gantung ini mendapatkan sambutan hangat dari para warga Manado. Selain melancarkan akses menuju satu tempat ke tempat lain saja, namun masyarakat dapat menikmati pemandangan yang dapat memanjakan mata dari atas ketinggian. Sebab dari jembatan tersebut, tampak sebuah gunung yang menjadi latar belakang teluk tampak cantik dan menawan.",wisata kota
Kampung Cina,"Kawasan pecinan atau kampung China menjadi destinasi wisata kota di Manado, Sulawesi Utara. Menelusuri kawasan yang berada di jalan DI Panjaitan, Calaca, Kecamatan Wenang, Kota Manado, ini seperti membawa kembali ke masa lalu. Sederet bangunan tua yang umumnya ditempati etnis Tionghoa ini masih berdiri tegak. Klenteng Ban Hin Kiong dan Klenteng Kwan Kong menjadi tempat menarik untuk dikunjungi. Apalagi ketika memasuki hari-hari raya umat. Pernak-pernik di klenteng menjadi daya tarik bagi wisatawan. Terdapat banyak spot foto instagramable di klenteng ini.",wisata kota
Pantai Paal,"Pantai Paal merupakan pantai pasir putih dan laut biru yang jernih menjadi daya tarik tersendiri bagi pengunjung. Apalagi ditambah dengan pepohonan yang membuat udara di sekitar menjadi sejuk seperti berada di pegunungan. Di pantai ini, banyak nelayan-nelayan yang langsung menjual hasil tangkapannya. Jika tidak di pasar, biasanya nelayan akan menjual hasil tangkapan ke warung-warung yang ada di sekitar pantai. Warung-warung ini akan menyajikan makanan-makanan laut dari ikan bakar yang masih fresh. Kuliner ikan bakar yang masih segar ini menjadi daya tarik tersendiri bagi pengunjung.",wisata air
Bukit Doa Mahawu,"Bukit Doa Mahawu merupakan wisata religi di dekat kota Manado. Objek wisata alam yang juga menjadi tempat wisata religi ini terkenal di Sulawesi Utara. Bukit ini memang berada tepat di bawah kaki Gunung Mahawu dan terlihat begitu indah khas dengan suasana pegunungan. Tak hanya itu, wisatawan bisa memotret suasana sekitar tempat wisata yang diketahui banyak menjadikan pengunjung makin betah.",pegunungan dan pedesaan
Jembatan Lalove,"Jembatan V atau lebih dikenal dengan nama jembatan lalove kini menjadi ikon baru Kota Palu semenjak diresmikan oleh Walikota Palu. Keunikan dari jembatan ini adalah berdirinya dua tiang duplikat seruling berwana kuning atau Warga Palu menyebutnya Lalove, merupakan alat musik tiup tradisional suku kaili yang mendiami lembah Palu, Sulawesi Tengah.",wisata kota
Monumen Nosarara Nosabatutu,Monumen Nosarara Nosabatutu merupakan bangunan berlantai tiga yang terletak di bagian depan kompleks wisata seluas 800 meter persegi ini menarik dikunjungi. Monumen Nosarara Nosabatutu merupakan bangunan berlantai tiga yang megah dan terletak di bagian depan kompleks wisata seluas 800 meter persegi ini. Di bagian atas bangunan berdiri kokoh Tugu Perdamaian sebagai simbol semangat persaudaraan dan persatuan”Nosarara Nosabatutu” sendiri berasal dari bahasa Kaili.,wisata kota
Taman Nasional Lore Lindu,"Taman Nasional Lore Lindu (TNLL) merupakan salah satu taman nasional di Indonesia yang terletak di provinsi Sulawesi Tengah dan salah satu lokasi perlindungan hayati Sulawesi. aman Nasional Lore Lindu memiliki fauna dan flora endemik Sulawesi serta panorama alam yang menarik karena terletak di garis Wallace yang merupakan wilayah peralihan antara zona Asia dan Australia. Taman nasional ini juga merupakan habitat mamalia asli terbesar di Sulawesi. Anoa, babirusa, rusa, binatang hantu (tangkasi), kera tonkea, kuskus marsupial dan binatang pemakan daging terbesar di Sulawesi, musang Sulawesi hidup di taman ini. Taman Nasional Lore Lindu juga memiliki paling sedikit 5 jenis bajing dan 31 dari 38 jenis tikusnya, termasuk jenis endemik.",pegunungan dan pedesaan
Pantai Talise,"Pantai Talise merupakan tempat wisata utama di Kota Palu setelah Istana Pusat Sulawesi. Pantai ini membentang di Kota Palu hingga Kabupaten Donggala. Di pantai ini terdapat hamparan pasir putih dengan ombak yang cukup tenang dan perbukitan yang begitu mempesona sehingga pengunjung dimanjakan dengan keindahan panoramanya. Selain memiliki panorama alam yang sangat indah, pantai ini juga sangat cocok di pergunakan untuk sarana olahraga, misalnya olahraga renang, menyelam, memancing, sky air, selancar angin,menikmati sunset di penghujung hari dan masih banyak lagi.",wisata air
Pantai Tanjung Karang Donggala,"Pantai Tanjung Karang adalah objek wisata yang terletak di desa Labuan Bajo, Kabupaten Donggala, Sulawesi Tengah . Tanjung Karang adalah pantai berpasir putih dengan kekayaan hayati biota bawah laut.Kilauan cahaya emas memantul dari tepi pantai berpasir, yang banyak dilintasi perahu nelayan. Pantai yang terletak sekitar 35 km dari pusat Kota Palu ini menjadi pusat dicanangkannya gerakan Sadar Wisata dari Kementerian Pariwisata dan Ekonomi Kreatif. Potensi wisata di pantai ini mulai dikembangkan dengan beberapa bangunan rumah panggung yang difungsikan sebagai penginapan. Rumah berukuran lebih kurang 5 x 5 meter hanya berjarak sekitar 10 meter dari bibir pantai. Terdapat pula sebuah memiliki resort yang telah dilengkapi dengan kamar tidur lengkap, cafe, alat selam permukaan (snorkling) ataupun diving bahkan tim yang akan mengantarkan anda ke titik diving terbaik di Pantai ini. ",wisata air
